                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.52815,                 0.4481,                0.65845,                  1.009,                 0.8037,                0.94839,                0.92342,                0.87115,                 0.8037,                0.94839,                0.92342,                0.83962,                0.42657,                0.65337,                0.51594,                 1.0034,             0.00026806,             0.00026806,             0.00026806
                     86,                 0.5088,                0.45655,                0.65233,                 1.0076,                0.78894,                0.95569,                 0.9185,                0.86037,                0.79589,                0.96264,                0.92226,                0.83144,                0.41476,                 0.6875,                0.53187,                0.98618,             0.00026581,             0.00026581,             0.00026581
                     87,                0.49295,                  0.468,                0.64291,                 0.9969,                0.79178,                0.95564,                0.90208,                0.84966,                0.79834,                0.96243,                0.91284,                0.82228,                0.43006,                0.60408,                0.60863,                0.98306,             0.00026356,             0.00026356,             0.00026356
                     88,                0.53424,                0.47124,                0.69494,                 1.0152,                 0.7882,                0.96239,                0.92891,                0.87186,                 0.7882,                0.96239,                0.92891,                0.83963,                0.38995,                0.83698,                0.52349,                0.96528,             0.00026131,             0.00026131,             0.00026131
                     89,                0.50833,                 0.4322,                0.63493,                 1.0038,                0.77611,                0.97434,                0.90777,                 0.8582,                0.77611,                0.97434,                0.90777,                0.82785,                0.42658,                0.79662,                0.57714,                0.98184,             0.00025905,             0.00025905,             0.00025905
                     90,                0.50306,                0.45283,                0.64402,                 0.9918,                0.77149,                0.96798,                0.91281,                0.85577,                0.77739,                0.97492,                 0.9194,                0.83191,                0.41921,                0.67454,                 0.5556,                0.97226,              0.0002568,              0.0002568,              0.0002568
                     91,                0.49047,                0.43931,                0.62091,                0.99685,                0.89098,                0.87742,                 0.9266,                0.88179,                0.89798,                0.88436,                0.93235,                0.83409,                0.38927,                 0.5643,                0.56572,                0.95716,             0.00025455,             0.00025455,             0.00025455
                     92,                0.49493,                0.43642,                0.65486,                0.99912,                0.80365,                0.92605,                0.91657,                0.87224,                0.81024,                  0.933,                0.92494,                0.83268,                 0.3893,                0.60427,                0.57793,                0.95714,              0.0002523,              0.0002523,              0.0002523
                     93,                0.48899,                0.43396,                0.63753,                0.98659,                0.82788,                 0.9282,                0.93417,                0.89031,                0.83458,                0.93515,                0.93897,                0.83311,                0.37327,                0.61917,                0.52753,                0.94227,             0.00025005,             0.00025005,             0.00025005
                     94,                0.48416,                0.40653,                0.63849,                0.98455,                0.76092,                0.96705,                0.90559,                0.85597,                0.76736,                  0.974,                0.90935,                0.81357,                0.40187,                0.64697,                0.55862,                0.95438,             0.00024779,             0.00024779,             0.00024779
